name,location,date,time,description,link,embedded
Kitten Photographer Needed,"7564 Ashland Ave, Lakeview, Chicago, IL",4/15/2025,10:00 AM,"Volunteer as a photographer to take pictures of kittens for adoption, helping to promote their adoption through high-quality images.",https://www.volunteermatch.org/search/opp3747346.jsp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Help Host Kitten Birthday Parties for Kids,"2782 Ashland Ave, Pilsen, Chicago, IL",4/19/2025,11:00 AM,"Assist in hosting birthday parties for kids featuring adoptable kittens, promoting fun and education about animal care.",https://www.volunteermatch.org/search/opp3730280.jsp,"[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
Greeter and Light Clerical Tasks: Swedish Covenant In Patient Unit,"6447 Wabash Ave, Lakeview, Chicago, IL",4/14/2025,9:00 AM,"Volunteer as a greeter and assist with light clerical tasks at the Swedish Covenant In Patient Unit, providing support to patients and staff.",https://createthegood.aarp.org/opportunity-details.163902,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Paws for Patients,"5017 Clark St, Lakeview, Chicago, IL",4/16/2025,10:00 AM,"Volunteer with your certified therapy dog to visit patients, bringing comfort and joy to those in need.",https://createthegood.aarp.org/opportunity-details.163894,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
HR Volunteer for Unity Hospice,"1394 Western Ave, Lakeview, Chicago, IL",4/17/2025,9:00 AM,"Volunteer to provide HR support for Unity Hospice, assisting with various human resources tasks and initiatives.",https://createthegood.aarp.org/opportunity-details.163893,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
Veteran to Veteran Support,"6005 Wabash Ave, Lakeview, Chicago, IL",4/13/2025,10:00 AM,"Volunteer to support veterans at the end of life, providing companionship and understanding through shared experiences.",https://createthegood.aarp.org/opportunity-details.163761,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
Greeter and Clerical Tasks at Mac Neal Hospital,"6191 Halsted St, Lakeview, Chicago, IL",4/11/2025,9:00 AM,"Volunteer as a greeter and assist with clerical tasks at Mac Neal Hospital's in-patient unit, supporting patient care and administrative needs.",https://createthegood.aarp.org/opportunity-details.163906,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Friends Needed for Hospice Patients,"4406 State St, Lakeview, Chicago, IL",4/21/2025,2:00 PM,"Volunteer to provide companionship and emotional support to hospice patients, bringing joy and comfort to their lives.",https://www.idealist.org/en/volunteer-opportunity/6030d523e9d94fc0b92b09d679be973e-friends-needed-for-hospice-patients-unity-hospice-palliative-care-chicago,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
Veterans Supporting Veterans,"1447 Pulaski Rd, Lakeview, Chicago, IL",4/22/2025,10:00 AM,"Volunteer to support fellow veterans at the end of life, providing a sense of camaraderie and understanding.",https://www.idealist.org/en/volunteer-opportunity/97e5306cccd14486a1c05430c45a0506-veterans-supporting-veterans-at-end-of-life-unity-hospice-palliative-care-hometown,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Bank the Blue's 5th Anniversary Celebration,"8847 Michigan Ave, Rogers Park, Chicago, IL",4/24/2025,6:00 PM,"Volunteers needed to support the 5th Anniversary Celebration of Bank the Blue, honoring law enforcement and their community impact.",https://www.idealist.org/en/volunteer-opportunity/4fb389a8d7b745f594be15695b3fe927-bank-the-blues-5th-anniversary-celebration-needs-volunteers-bank-the-blue-chicago,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Hub Program Volunteer,"8457 Halsted St, Lakeview, Chicago, IL",10/15/2023,10:00 AM,Volunteer with Math Circles of Chicago to support educational programs for students. Assist with math activities and create engaging learning environments.,https://www.idealist.org/en/volunteer-opportunity/b04712f7a0aa439395fc66f05b5c69f5-hub-program-volunteer-math-circles-of-chicago-chicago,"[1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0]"
Grocery Giveaway,"2401 Clark St, Wicker Park, Chicago, IL",10/20/2023,9:00 AM,"Help distribute groceries to those in need. Assist with setup, distribution, and cleanup.",https://www.volunteermatch.org/search/opp3908039.jsp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Arabic Speaking Family Mentors,"4629 Wabash Ave, Rogers Park, Chicago, IL",10/25/2023,6:00 PM,Mentor newly arrived Arabic-speaking families. Provide support with daily tasks and community integration.,https://www.volunteermatch.org/search/opp3907624.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Walk and Roll Chicago Volunteers,"5518 Ashland Ave, Pilsen, Chicago, IL",10/28/2023,8:00 AM,"Volunteer at the American Cancer Society's Walk and Roll event. Assist with registration, route support, and cheering on participants.",https://www.volunteermatch.org/search/opp3907582.jsp,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
Bringing History to Life,"4252 Clark St, Wicker Park, Chicago, IL",11/1/2023,12:00 PM,Support a classroom project by providing engaging history supplies for students.,https://www.donorschoose.org/project/bringing-history-to-life-engaging-supp/9087189,"[1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
Chicago: Walk/Run Volunteers Needed,"8256 Western Ave, Lakeview, Chicago, IL",11/4/2023,7:30 AM,"Volunteer at the Multiple Myeloma Research Foundation's walk/run event. Assist with registration, water stations, and course support.",https://www.volunteermatch.org/search/opp3907311.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Paid Research Study Participants,"9916 Western Ave, Hyde Park, Chicago, IL",11/7/2023,2:00 PM,Participate in a paid research study at the University of Illinois at Chicago. Contribute to important research projects.,https://www.volunteermatch.org/search/opp3907115.jsp,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Volunteer with Miles for Migraine,"6406 State St, Lakeview, Chicago, IL",11/11/2023,8:00 AM,"Support the Miles for Migraine event. Help with setup, registration, and course support.",https://www.volunteermatch.org/search/opp3907039.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Hospice Volunteer Team,"7362 Michigan Ave, Lakeview, Chicago, IL",11/15/2023,10:00 AM,Join Advocate Hospice as a volunteer. Provide companionship and support to hospice patients.,https://www.volunteermatch.org/search/opp3907002.jsp,"[0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
Companion/Support Volunteer,"3200 Halsted St, Lakeview, Chicago, IL",11/18/2023,11:00 AM,Provide companionship and support to hospice patients in the Oak Park area.,https://www.volunteermatch.org/search/opp3842677.jsp,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
Adopt-a-Beach Spring Kickoff 2025,"4396 Ashland Ave, Rogers Park, Chicago, IL",5/1/2025,10:00 AM,Join us for the Adopt-a-Beach Spring Kickoff 2025! Help keep our beaches clean and beautiful while enjoying the outdoors. This is a great opportunity to give back to the community and make a positive impact on the environment.,https://www.volunteermatch.org/search/opp3903733.jsp,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Community Navigator (Bi-Lingual Preferred),"6805 Ashland Ave, Rogers Park, Chicago, IL",5/2/2025,2:00 PM,"Assist as a Community Navigator, helping individuals navigate community resources and services. Bilingual skills are preferred but not required. This role is perfect for those passionate about community development and social services.",https://www.volunteermatch.org/search/opp3903149.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Spend the Summer Tutoring Refugee Students in Chicago,"6077 State St, Rogers Park, Chicago, IL",6/23/2025,9:00 AM,Spend the summer tutoring refugee students in Chicago. This is a rewarding opportunity to make a difference in the lives of refugees by providing educational support and helping them integrate into their new community.,https://www.volunteermatch.org/search/opp3903142.jsp,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]"
Liver Life Walk Chicago,"5560 Pulaski Rd, Pilsen, Chicago, IL",5/3/2025,8:00 AM,"Participate in the Liver Life Walk Chicago to support the American Liver Foundation. This event raises awareness and funds for liver disease research and education. Join us for a morning of walking, community engagement, and making a difference.",https://www.volunteermatch.org/search/opp3902924.jsp,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
Between Friends Board Member,"4488 Halsted St, Wicker Park, Chicago, IL",5/4/2025,6:00 PM,Join the Board of Directors at Between Friends. This is an excellent opportunity for those passionate about domestic violence prevention and intervention. Board members will help guide the organization's strategic direction and ensure its continued success.,https://www.volunteermatch.org/search/opp3781234.jsp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Product Receiver and Stock Person,"8674 Clark St, Logan Square, Chicago, IL",5/5/2025,10:00 AM,"Assist as a Product Receiver and Stock Person at the New Seed Pantry. This role involves receiving and organizing donations, ensuring the pantry is well-stocked and ready to serve the community. Ideal for those who enjoy hands-on work and supporting food security initiatives.",https://www.volunteermatch.org/search/opp3681662.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
Client Specialist,"1070 Ashland Ave, Rogers Park, Chicago, IL",5/6/2025,2:00 PM,"Act as a Client Specialist at the New Seed Pantry, assisting clients with their needs and providing excellent customer service. This role is perfect for those who enjoy working directly with people and supporting community well-being.",https://www.volunteermatch.org/search/opp3681655.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
Celebrating Academic Excellence,"5929 Clark St, Rogers Park, Chicago, IL",5/7/2025,4:00 PM,Celebrate academic excellence by supporting outstanding students. This event honors students who have achieved academic success and inspires others to pursue their educational goals. It's a great way to motivate and uplift the community.,https://www.donorschoose.org/project/celebrating-academic-excellence-honorin/9082818,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]"
Fellowship 25' - High School Ambassador,"5270 State St, Rogers Park, Chicago, IL",5/8/2025,3:00 PM,"Become a High School Ambassador for Fellowship 25'. This role involves promoting the fellowship program, engaging with students, and helping to build a stronger community. Ideal for high school students who are passionate about leadership and community engagement.",https://www.volunteermatch.org/search/opp3714657.jsp,"[1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
Seeking New Board Members,"6545 Ashland Ave, West Loop, Chicago, IL",5/9/2025,5:00 PM,Thrive Counselling Center is seeking new Board Members. This is an excellent opportunity for those passionate about mental health and wellness. Board members will help guide the organization's strategic direction and ensure its continued success.,https://www.volunteermatch.org/search/opp3897676.jsp,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Run for the Zoo 2025,"7896 Wabash Ave, Pilsen, Chicago, IL",1/1/2025,9:00 AM,Join us for the Run for the Zoo 2025 event at Lincoln Park Zoo. This event supports wildlife conservation and education programs. Participants can choose from various race categories and enjoy a fun day with family and friends.,https://createthegood.aarp.org/opportunity-details.160470,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
Lollapalooza Volunteer Opportunity,"1408 Halsted St, Pilsen, Chicago, IL",8/1/2025,10:00 AM,"Volunteer at Lollapalooza 2025 in Chicago. Assist with event operations, crowd management, and provide support to attendees. This is a great opportunity to be part of one of the largest music festivals in the world.",https://www.volunteermatch.org/search/opp3899521.jsp,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
"Help a Neighbor in the Chicago, IL area with a Homemade Meal","483 Wabash Ave, Rogers Park, Chicago, IL",3/15/2024,10:00 AM,Volunteer with Lasagna Love to help neighbors in need by providing homemade meals. This is a great opportunity to give back to your community and make a difference in someone's life.,https://www.volunteermatch.org/search/opp3670089.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
"Help us Feed Your Neighbors in the Chicago, IL area a Homemade Meal","4059 State St, Wicker Park, Chicago, IL",3/16/2024,11:00 AM,Join Lasagna Love in feeding families in need by cooking and delivering homemade meals. Your contribution will bring warmth and support to those in need.,https://www.volunteermatch.org/search/opp3670086.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
"Feed Your Neighbors in Need a Homemade meal in the Chicago, IL area","7549 Michigan Ave, Rogers Park, Chicago, IL",3/17/2024,9:00 AM,Volunteer with Lasagna Love to provide homemade meals to neighbors in need. This is a rewarding way to make a positive impact in your community.,https://www.volunteermatch.org/search/opp3670085.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
Volunteers needed for 2025 Chicago Fire Home Games,"1989 Wabash Ave, Lakeview, Chicago, IL",4/1/2024,5:00 PM,"Volunteer opportunity with Live Life With Purpose International, Inc to support the 2025 Chicago Fire Home Games. Help create a positive and engaging experience for fans.",https://www.idealist.org/en/volunteer-opportunity/93474dce070b4e52af481b5ed264320c-volunteers-needed-for-2025-chicago-fire-home-games-live-life-with-purpose-international-inc-chicago,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
Be the Light in Someone's Final Journey: Volunteer for Unity Hospice,"9136 Michigan Ave, Lakeview, Chicago, IL",3/20/2024,10:00 AM,Volunteer with Unity Hospice to provide companionship and support to patients in their final journey. This meaningful opportunity allows you to make a difference in someone's life during a critical time.,https://createthegood.aarp.org/opportunity-details.163397,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
Looking for volunteers for the 2025 Beyonce World Tour in Chicago,"119 Clark St, Lakeview, Chicago, IL",7/15/2025,5:00 PM,"Volunteer at the 2025 Beyoncé World Tour in Chicago. Assist with event operations, crowd management, and create a memorable experience for concert-goers.",https://www.volunteermatch.org/search/opp3899033.jsp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Looking for help at Beyonce World Tour in Chicago,"2407 Michigan Ave, Lakeview, Chicago, IL",7/15/2025,5:00 PM,Volunteer at the Beyoncé World Tour in Chicago. Assist with various tasks to ensure the event runs smoothly and enjoy the concert atmosphere.,https://www.volunteermatch.org/search/opp3898689.jsp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Board of Directors Opportunity at MBIC,"4423 Western Ave, Wicker Park, Chicago, IL",4/10/2024,2:00 PM,Join the Board of Directors at Midwest Brain Injury Clubhouse. Contribute your skills to strengthen the foundation for future growth and support individuals with brain injuries.,https://www.volunteermatch.org/search/opp3898491.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Join Our Cheer Section at the ABC7 Gibbons Run!,"2428 State St, Pilsen, Chicago, IL",6/1/2024,8:00 AM,Volunteer at the ABC7 Gibbons Run. Cheer on participants and support the Leukemia Research Foundation in their mission to fight leukemia.,https://www.volunteermatch.org/search/opp3898463.jsp,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
A Fight Against Leukemia: Volunteer for ABC7 Gibbons Run,"4496 Halsted St, Lakeview, Chicago, IL",6/1/2024,8:00 AM,Volunteer at the ABC7 Gibbons Run to support the Leukemia Research Foundation. Help organize the event and cheer on runners.,https://www.volunteermatch.org/search/opp313807.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Emergency Fundraising Support for MBIC,"6450 Wabash Ave, Wicker Park, Chicago, IL",4/10/2024,2:00 PM,Assist with emergency fundraising efforts for the Midwest Brain Injury Clubhouse. Help secure vital funds to support their programs.,https://www.volunteermatch.org/search/opp3898449.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
Now Accepting Applications for Our Founding Board of Directors!,"764 Clark St, Wicker Park, Chicago, IL",3/15/2024,12:00 PM,Join the Founding Board of Directors at Not One Sparrow Ministries. Help shape the future of the organization and contribute to its mission.,https://www.idealist.org/en/volunteer-opportunity/210b964f5cda4860bccc6e7f8cf64fe0-now-accepting-applications-for-our-founding-board-of-directors-not-one-sparrow-ministries-chicago,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
JASC Volunteer Receptionist,"6829 State St, Lakeview, Chicago, IL",3/25/2024,10:00 AM,Volunteer as a receptionist at JASC. Provide administrative support and ensure smooth operations at the organization.,https://www.volunteermatch.org/search/opp3889873.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Mental Health Change Makers: Call for NAMI Metro Suburban Development Committee Volunteers!,"2884 Halsted St, Rogers Park, Chicago, IL",4/5/2024,1:00 PM,Volunteer with NAMI Metro Suburban to support mental health initiatives. Join the Development Committee to help create positive change in the community.,https://www.volunteermatch.org/search/opp3851667.jsp,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Foundation Board Member,"7229 State St, Wicker Park, Chicago, IL",4/12/2024,3:00 PM,Serve as a Board Member for the Ernest Hemingway Foundation of Oak Park. Contribute to preserving the legacy and supporting literary initiatives.,https://www.volunteermatch.org/search/opp3415272.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
ABTA Breakthrough for Brain Tumors 5K Run and Walk: Chicago 2025,"2356 Clark St, Rogers Park, Chicago, IL",10/20/2025,8:00 AM,Join the American Brain Tumor Association for a 5K Run and Walk to support brain tumor research and awareness. This event promotes community engagement and fundraising for a critical cause.,https://www.volunteermatch.org/search/opp2543642.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
WHEELSFORALL Members for High School and College students,"9266 Pulaski Rd, Rogers Park, Chicago, IL",9/15/2025,9:00 AM,WHEELSFORALL seeks members to engage high school and college students in community activities. This opportunity focuses on youth engagement and community service.,https://www.volunteermatch.org/search/opp3568119.jsp,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
Tutor (Must have graduated High School),"9762 Western Ave, Wicker Park, Chicago, IL",12/30/2023,4:00 PM,"WHEELSFORALL is seeking tutors to support high school and college students in their academic journey. If you have graduated high school, this is a great opportunity to give back and help students achieve their educational goals.",https://www.volunteermatch.org/search/opp3566688.jsp,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]"
Volunteer Tutoring Event,"5397 Pulaski Rd, Rogers Park, Chicago, IL",3/15/2024,10:00 AM,Join us for a community tutoring event where volunteers will assist students with their academic needs. This is a great opportunity to give back to the community and support education.,https://www.idealist.org/en/volunteer-event-123,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]"
Community Clean-Up Day,"2130 Wabash Ave, Pilsen, Chicago, IL",4/20/2024,9:00 AM,"Participate in a city-wide clean-up initiative to beautify public spaces. Volunteers will help clean parks, streets, and other community areas.",https://www.idealist.org/en/volunteer-event-456,"[0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
Food Drive Organization,"3808 Wabash Ave, Logan Square, Chicago, IL",3/25/2024,2:00 PM,Help organize and distribute food donations to those in need. This event supports local food banks and shelters.,https://www.idealist.org/en/volunteer-event-789,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]"
Volunteers needed for the Weeknd World Tour in Chicago,"1942 Michigan Ave, Lakeview, Chicago, IL",5/30/2025,03:00 PM - 11:00 PM,"Volunteer opportunity to assist with the Weeknd World Tour in Chicago. Help with event operations, crowd management, and ensure a smooth experience for attendees.",https://www.idealist.org/en/volunteer-opportunity/43dc89afe79b4560ad6fc1ba76f7c8ce-volunteers-needed-for-the-weeknd-world-tour-in-chicago-live-life-with-purpose-international-inc-chicago,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Volunteers needed for the Beyonce World Tour in Chicago,"1159 Pulaski Rd, Lakeview, Chicago, IL",5/15/2025,03:00 PM - 11:00 PM,"Volunteer opportunity to assist with the Beyonce World Tour in Chicago. Help with event operations, crowd management, and ensure a smooth experience for attendees.",https://www.idealist.org/en/volunteer-opportunity/effd9020779345dfa1b87b091e8ac528-volunteers-needed-for-the-beyonce-world-tour-in-chicago-live-life-with-purpose-international-inc-chicago,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Companionship Volunteers Needed,"6039 Wabash Ave, Lakeview, Chicago, IL",3/15/2024,10:00 AM,"Provide companionship to hospice patients, offering emotional support and comfort during their final journey.",https://www.volunteermatch.org/search/opp3895347.jsp,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
"Drive cancer patients to treatment - Chicago, Illinois","1700 Ashland Ave, Lakeview, Chicago, IL",3/20/2024,9:00 AM,"Volunteer drivers needed to transport cancer patients to treatment sessions, ensuring they receive necessary care.",https://www.volunteermatch.org/search/opp3895282.jsp,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Help with Important Women's Research!,"4658 State St, Hyde Park, Chicago, IL",3/25/2024,2:00 PM,Assist researchers at the University of Illinois at Chicago with important studies focused on women's health issues.,https://www.volunteermatch.org/search/opp3863656.jsp,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
GirlForward's Summer Internship Application,"322 Wabash Ave, Wicker Park, Chicago, IL",4/1/2024,11:00 AM,Support GirlForward's summer internship program by assisting with applications and preparations.,https://www.volunteermatch.org/search/opp3783932.jsp,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
Become a Mentor to Refugee Girls!,"2765 Pulaski Rd, Wicker Park, Chicago, IL",3/18/2024,3:00 PM,"Mentor refugee girls, providing guidance and support to help them thrive in their new environment.",https://www.volunteermatch.org/search/opp3684819.jsp,"[0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
Veterans Supporting Veterans at End of Life,"7712 Clark St, Wicker Park, Chicago, IL",3/22/2024,1:00 PM,"Veterans supporting fellow veterans at the end of life, providing companionship and understanding.",https://www.idealist.org/en/volunteer-opportunity/52d998620dce4c87ac9ae0edcbf4a537-veterans-supporting-veterans-at-end-of-life-unity-hospice-palliative-care-hometown,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
Bring peace to someone facing end of life,"8691 Michigan Ave, Lakeview, Chicago, IL",3/21/2024,5:00 PM,Join Unity Hospice Volunteer Program to bring peace and comfort to those facing end of life.,https://www.idealist.org/en/volunteer-opportunity/99f78f94b1e343849126f0399c9552e6-bring-peace-to-someone-facing-end-of-life-join-unity-hospice-volunteer-program-unity-hospice-palliative-care-chicago,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Join the America Needs You - Chicago Associate Board!,"7769 State St, Wicker Park, Chicago, IL",3/27/2024,6:00 PM,Join the Associate Board to support America Needs You in empowering first-gen college students.,https://www.volunteermatch.org/search/opp3682637.jsp,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
Content publishers for Facebook and Linkedin,"7116 Halsted St, Logan Square, Chicago, IL",3/28/2024,7:00 PM,Help manage and publish content for St. Cyprian Food Pantry on social media platforms.,https://www.volunteermatch.org/search/opp3707204.jsp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Volunteer at Run for the Zoo!,"1484 Ashland Ave, Rogers Park, Chicago, IL",6/8/2025,5:30 AM,"Join Lincoln Park Zoo for the annual Run for the Zoo event, supporting conservation efforts and community engagement.",https://www.idealist.org/en/volunteer-opportunity/4053363647bf4fd5a39b4d239b1424ed-volunteer-at-run-for-the-zoo-lincoln-park-zoo-chicago,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Pop-Up Distribution - ACCESS West Side,"5169 Clark St, Logan Square, Chicago, IL",4/23/2025,12:30 PM,Assist with food distribution at the Greater Chicago Food Depository's ACCESS West Side location.,https://www.idealist.org/en/https:/x.gldn.io/x7lCJWxEEpb,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
Pop-Up Distribution - ACCESS Grand Boulevard,"1671 Ashland Ave, Logan Square, Chicago, IL",4/23/2025,8:30 AM,Volunteer at the Greater Chicago Food Depository's ACCESS Grand Boulevard pop-up distribution event.,https://www.idealist.org/en/https:/x.gldn.io/GDBiFZbEEpb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Hospital Elder Life Program Volunteer,"1308 Halsted St, Hyde Park, Chicago, IL",5/15/2025,10:00 AM,Assist elderly patients with daily activities and provide companionship at Rush University Medical Center.,https://www.idealist.org/en/https:/www.volunteermatch.org/search/opp3894105.jsp,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Are you seeking connection? Feeling lonely? Join us to build friendship!,"5017 Pulaski Rd, Jefferson Park, Chicago, IL",5/20/2025,2:00 PM,Volunteer with Little Brothers - Friends of the Elderly to combat loneliness among seniors.,https://www.idealist.org/en/https:/www.volunteermatch.org/search/opp3840248.jsp,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
End Loneliness! Be a friend to an isolated older adult in Chicago!,"9335 State St, Lakeview, Chicago, IL",5/25/2025,3:00 PM,Volunteer to visit and support isolated older adults in Chicago.,https://www.idealist.org/en/https:/www.volunteermatch.org/search/opp2853730.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Join Our Fight to End Alzheimer's on The Longest Day - Chicago,"5289 State St, Pilsen, Chicago, IL",6/1/2025,9:00 AM,Participate in The Longest Day event to raise awareness and funds for Alzheimer's research.,https://www.idealist.org/en/https:/www.volunteermatch.org/search/opp3334016.jsp,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Seeking Alzheimer's Association Committee Members - The Longest Day - Chicago,"6188 Wabash Ave, Wicker Park, Chicago, IL",5/28/2025,11:00 AM,Join the committee for The Longest Day event to help plan and execute activities.,https://www.idealist.org/en/https:/www.volunteermatch.org/search/opp3330171.jsp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Play Lacrosse & Mentor Youth in Chicago's West Side - Austin Neighborhood!,"5155 Ashland Ave, Bronzeville, Chicago, IL",5/22/2025,4:00 PM,Mentor youth through lacrosse in the Austin Neighborhood with TRUE LACROSSE FOUNDATION.,https://www.idealist.org/en/https:/www.volunteermatch.org/search/opp3892218.jsp,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
Le Tour de Shore 2025 Charity Ride,"4984 State St, Pilsen, Chicago, IL",6/5/2025,8:00 AM,Participate in the Le Tour de Shore charity ride to support local causes.,https://www.idealist.org/en/https:/www.volunteermatch.org/search/opp3892205.jsp,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
Help End Clothing Insecurity in Chicago - Volunteer with Cradles to Crayons!,"7038 Ashland Ave, Lakeview, Chicago, IL",5/18/2025,1:00 PM,Volunteer at Cradles to Crayons to help sort and distribute clothing to those in need.,https://www.idealist.org/en/https:/www.volunteermatch.org/search/opp3892098.jsp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Chicago TechPath Alliance: Program Manager,"8694 Pulaski Rd, Lakeview, Chicago, IL",5/24/2025,10:00 AM,Volunteer as a Program Manager for the Chicago TechPath Alliance.,https://www.idealist.org/en/https:/www.volunteermatch.org/search/opp3892091.jsp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Tutoring English as a Second language (ESL),"7416 Pulaski Rd, Rogers Park, Chicago, IL",5/19/2025,6:00 PM,Teach English as a Second Language to community members at Erie Neighborhood House.,https://www.idealist.org/en/https:/www.volunteermatch.org/search/opp3824840.jsp,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Seeking Russian Speaking Volunteer Visitor,"3450 State St, Lakeview, Chicago, IL",5/17/2025,3:00 PM,Provide companionship to Russian-speaking seniors as a volunteer visitor.,https://www.idealist.org/en/https:/www.volunteermatch.org/search/opp3816574.jsp,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
