name,location,date,time,description,category,link
Music Detective Needed for Hospice Patients,"Chicago, IL, USA",5/13/2025,2:00 PM,Unity Hospice & Palliative Care needs volunteers to create personalized music playlists for patients.,"['Healthcare', 'Music Therapy', 'Hospice Support']",https://createthegood.aarp.org/opportunity-details.163764
Be the Light for Someone Facing Their Last Days,"Chicago, IL, USA",5/14/2025,1:00 PM,Volunteer with Unity Hospice & Palliative Care to provide compassionate support to patients.,"['Healthcare', 'Hospice Care', 'Volunteering']",https://createthegood.aarp.org/opportunity-details.163762
Volunteers for the Beyonce Concert in Chicago,"Chicago, IL, USA",5/15/2025,2:00 PM,Helping Every Life Possible needs volunteers for the Beyonce Concert in Chicago.,"['Entertainment', 'Event Support', 'Volunteering']",https://www.idealist.org/en/volunteer-opportunity/a2904f03985242e9aadc21c850126d7d-looking-for-volunteers-for-the-beyonce-concert-in-chicago-helping-every-life-possible-chicago
Event Day Volunteer - Komen Chicago Race for the Cure,"Chicago, IL, USA",5/16/2025,7:00 AM,Susan G. Komen needs volunteers for the Chicago Race for the Cure event.,"['Health', 'Fundraising', 'Community Support']",https://www.volunteermatch.org/search/opp3574264.jsp
Leaders Needed for Soldiers' Angels,"Chicago, IL, USA",5/17/2025,10:00 AM,Soldiers' Angels - Chicago needs leaders to help support veterans.,"['Veteran Support', 'Leadership', 'Volunteering']",https://www.volunteermatch.org/search/opp3280316.jsp
Start Planning Parties with a Purpose,"Chicago, IL, USA",5/18/2025,4:00 PM,Join Soldiers' Angels - Chicago to plan meaningful events for veterans.,"['Event Planning', 'Veteran Support', 'Volunteering']",https://www.volunteermatch.org/search/opp3171135.jsp
Veteran Support Program,"Chicago, IL",3/15/2025,10:00 AM,Volunteers needed to bring joy to veteran patients through the Veteran Support program at Soldiers' Angels. This is a rewarding opportunity to make a difference in the lives of veterans.,"['Veterans', 'Health', 'Community Service']",https://www.volunteermatch.org/search/opp3171129.jsp
Community Support for Veterans,"Chicago, IL",3/16/2025,11:00 AM,Get out and about in the community to support veterans through Soldiers' Angels. This is a great chance to give back and engage with the community.,"['Veterans', 'Community Development', 'Volunteering']",https://www.volunteermatch.org/search/opp3171118.jsp
Luncheon Meals Coordinator,"Chicago, IL",3/17/2025,9:00 AM,Plan Luncheon Meals as a Luncheon Coordinator for Soldiers' Angels. Help provide meals for those in need and support a noble cause.,"['Food Security', 'Volunteering', 'Community Service']",https://www.volunteermatch.org/search/opp3171114.jsp
Run for the Zoo 2025,"Lincoln Park Zoo, Chicago, IL",3/8/2025,8:00 AM,Join the Run for the Zoo 2025 event at Lincoln Park Zoo. This event supports conservation efforts and provides a fun day for participants.,"['Animals', 'Conservation', 'Community Event']",https://createthegood.aarp.org/opportunity-details.160470
No Stress Wednesdays,Remote,3/12/2025,2:00 PM,"Volunteer for No Stress Wednesdays, a program aimed at reducing stress and promoting well-being in the community.","['Mental Health', 'Remote Volunteering', 'Education']",https://www.donorschoose.org/project/no-stress-wednesdays/9120068
Lollapalooza Volunteer Opportunity,"Chicago, IL",3/18/2025,12:00 PM,Volunteers needed for Lollapalooza in Chicago. Assist with event operations and help make this major event a success.,"['Arts & Music', 'Festivals', 'Volunteering']",https://www.volunteermatch.org/search/opp3899521.jsp
Social Justice Events Researcher,"Chicago, IL",3/19/2025,10:00 AM,Researcher needed to support social justice events in Chicago. This is a great opportunity to contribute to meaningful social justice initiatives.,"['Social Justice', 'Research', 'Community Engagement']",https://www.volunteermatch.org/search/opp3743415.jsp
Community Engagement Coordinator,"Chicago, IL",3/20/2025,11:00 AM,Coordinate community engagement activities with LoveJustice. This role involves organizing and supporting local community events and initiatives.,"['Community Development', 'Social Justice', 'Volunteering']",https://www.volunteermatch.org/search/opp3743411.jsp
Nonprofit Support Coordinator,"Chicago, IL",3/21/2025,9:00 AM,Volunteer to support nonprofit operations with LoveJustice. This role involves various administrative and operational tasks to help the organization run smoothly.,"['Nonprofit Support', 'Community Service', 'Volunteering']",https://www.volunteermatch.org/search/opp3743402.jsp
Social Justice News Editor,"Chicago, IL",3/22/2025,10:00 AM,Volunteer as a Social Justice News Editor with LoveJustice. This role involves editing and curating content for social justice news and initiatives.,"['Social Justice', 'Media', 'Volunteering']",https://www.volunteermatch.org/search/opp3555562.jsp
"Help a Neighbor in the Chicago, IL area with a Homemade Meal","Chicago, IL",3/15/2024,10:00 AM,Volunteer with Lasagna Love to provide homemade meals to neighbors in need. This opportunity allows you to make a direct impact in your community by cooking and delivering meals.,"['Community Service', 'Food Service', 'Volunteering']",https://www.volunteermatch.org/search/opp3670089.jsp
"Help us Feed Your Neighbors in the Chicago, IL area a Homemade Meal","Chicago, IL",3/17/2024,9:00 AM,Volunteer with Lasagna Love to help feed your neighbors in need. This opportunity involves cooking and delivering homemade meals to those in your community.,"['Community Service', 'Food Service', 'Volunteering']",https://www.volunteermatch.org/search/opp3670086.jsp
"Feed Your Neighbors in Need a Homemade meal in the Chicago, IL area","Chicago, IL",3/18/2024,2:00 PM,Lasagna Love needs volunteers to help feed neighbors in need. This involves cooking and delivering homemade meals to those in your community.,"['Community Service', 'Food Service', 'Volunteering']",https://www.volunteermatch.org/search/opp3670085.jsp
"Feed a Family in need in the Chicago, IL area a Homemade Meal","Chicago, IL",3/20/2024,3:00 PM,Join Lasagna Love in feeding families in need by providing homemade meals. This volunteer opportunity involves cooking and delivering meals to those in your community.,"['Community Service', 'Food Service', 'Volunteering']",https://www.volunteermatch.org/search/opp3670082.jsp
"Help a Neighbor in Need in the Chicago, IL area with a Homemade Meal","Chicago, IL",3/21/2024,5:00 PM,Volunteer with Lasagna Love to help neighbors in need by providing homemade meals. This is a meaningful way to give back to your community through cooking and delivery.,"['Community Service', 'Food Service', 'Volunteering']",https://www.volunteermatch.org/search/opp3670081.jsp
"Help us Feed a Family in need in the Chicago, IL area","Chicago, IL",3/22/2024,6:00 PM,Lasagna Love needs volunteers to help feed families in need. This opportunity involves cooking and delivering homemade meals to those in your community.,"['Community Service', 'Food Service', 'Volunteering']",https://www.volunteermatch.org/search/opp3670080.jsp
Help a Neighbor in Elmwood Park with a Homemade Meal,"Elmwood Park, IL",3/24/2024,8:00 PM,Volunteer with Lasagna Love to provide homemade meals to neighbors in Elmwood Park. This opportunity allows you to make a direct impact in your community by cooking and delivering meals.,"['Community Service', 'Food Service', 'Volunteering']",https://www.volunteermatch.org/search/opp3435088.jsp
2025 Beyoncé World Tour Volunteer Opportunity,"Chicago, IL",10/15/2025,12:00 PM,"Volunteer opportunity to assist with the 2025 Beyoncé World Tour in Chicago. Help with event setup, crowd management, and other tasks to ensure a smooth experience for attendees.","['Entertainment', 'Music', 'Volunteer']",https://www.volunteermatch.org/search/opp3899033.jsp
Beyoncé World Tour Volunteer Support,"Chicago, IL",10/16/2025,9:00 AM,Volunteer support needed for the Beyoncé World Tour in Chicago. Assist with various tasks to support the event operations and ensure a successful experience for all attendees.,"['Entertainment', 'Music', 'Volunteer']",https://www.volunteermatch.org/search/opp3898689.jsp
ABC7 Gibbons Run Volunteer Opportunity,"Chicago, IL",9/20/2025,7:00 AM,"Volunteer at the ABC7 Gibbons Run to support the Leukemia Research Foundation. Assist with event setup, participant support, and other tasks to help make the event a success.","['Health', 'Running', 'Charity']",https://www.volunteermatch.org/search/opp3898463.jsp
Visionaries of the Year Grand Finale Volunteer,"Chicago, IL",11/12/2025,6:00 PM,"Volunteer at the Visionaries of the Year Grand Finale event supporting the Leukemia & Lymphoma Society. Assist with event setup, guest support, and other tasks to ensure a successful event.","['Health', 'Charity', 'Awards']",https://www.volunteermatch.org/search/opp3897220.jsp
ABTA Breakthrough for Brain Tumors 5K Run and Walk: Chicago 2025,Chicago,10/20/2025,8:00 AM,Join the American Brain Tumor Association for a 5K Run and Walk to support brain tumor research and awareness. This event brings together communities to make a difference in the fight against brain tumors.,"['Health & Medicine', 'Fundraising', 'Community Engagement']",https://www.volunteermatch.org/search/opp2543642.jsp
WHEELSFORALL Members for High School and College students,Chicago,9/15/2025,9:00 AM,WHEELSFORALL seeks members to engage high school and college students in community service and development programs. This is a great opportunity for students to gain experience and make an impact.,"['Education', 'Youth Development', 'Community Service']",https://www.volunteermatch.org/search/opp3568119.jsp
Tutor (Must have graduated High School),Chicago,12/30/2023,4:00 PM,Volunteer tutoring opportunity for high school graduates to help students with their academic needs. Contribute to education and youth development in your community.,"['Education', 'Mentorship', 'Youth Development']",https://www.volunteermatch.org/search/opp3566688.jsp
Volunteer Tutoring Event,"Chicago, IL, USA",2/20/2024,10:00 AM,Join us for a community tutoring event where volunteers will assist students with their academic needs. This is a great opportunity to give back to the community and support education.,"['Education', 'Volunteering', 'Community Development']",https://www.idealist.org/en/volunteer-tutoring-event
Environmental Conservation Day,"Chicago, IL, USA",3/15/2024,9:00 AM,"Participate in a city-wide environmental conservation effort. Volunteers will help with park cleanups, tree planting, and other eco-friendly activities.","['Environment & Sustainability', 'Community Development', 'Volunteering']",https://www.idealist.org/en/environmental-conservation-day
Food Drive & Distribution Event,"Chicago, IL, USA",4/10/2024,11:00 AM,Help organize and distribute food to those in need. Volunteers will assist with sorting donations and helping families in need.,"['Food Security', 'Poverty', 'Volunteering']",https://www.idealist.org/en/food-drive-event
Community Health Fair,"Chicago, IL, USA",5/5/2024,12:00 PM,"Join a health fair providing free health screenings and resources to the community. Volunteers will assist with event setup, registration, and guiding attendees.","['Health & Medicine', 'Community Development', 'Volunteering']",https://www.idealist.org/en/health-fair-event
Volunteers needed for the Weeknd World Tour in Chicago,"Chicago, IL",5/30/2025,3:00 PM - 11:00 PM,"Volunteers are needed to assist with the Weeknd World Tour in Chicago. Duties may include event setup, crowd management, and ensuring a smooth experience for attendees. This is a great opportunity to be part of a high-profile event and support a good cause.","['Music', 'Concert', 'Volunteering', 'Entertainment', 'Live Event']",https://www.idealist.org/en/volunteer-opportunity/43dc89afe79b4560ad6fc1ba76f7c8ce-volunteers-needed-for-the-weeknd-world-tour-in-chicago-live-life-with-purpose-international-inc-chicago
Volunteers needed for the Beyonce World Tour in Chicago,"Chicago, IL",5/15/2025,3:00 PM - 11:00 PM,"Volunteers are needed to assist with the Beyonce World Tour in Chicago. Duties may include event setup, crowd management, and ensuring a smooth experience for attendees. This is a great opportunity to be part of a high-profile event and support a good cause.","['Music', 'Concert', 'Volunteering', 'Entertainment', 'Live Event']",https://www.idealist.org/en/volunteer-opportunity/effd9020779345dfa1b87b091e8ac528-volunteers-needed-for-the-beyonce-world-tour-in-chicago-live-life-with-purpose-international-inc-chicago
Companionship Volunteers Needed,"Chicago, IL, USA",3/20/2024,10:00 AM,Provide companionship and support to hospice patients in a residential setting. Assist with daily activities and offer emotional support to ensure patients' comfort and dignity.,"['Health & Medicine', 'Volunteering']",https://www.volunteermatch.org/search/opp3895347.jsp
Drive Cancer Patients to Treatment,"Chicago, IL, USA",3/22/2024,9:00 AM,Volunteer drivers needed to transport cancer patients to and from treatment. Ensure safe and timely transportation for patients in need.,"['Health & Medicine', 'Transportation', 'Volunteering']",https://www.volunteermatch.org/search/opp3895282.jsp
Help with Important Women's Research,"Chicago, IL, USA",3/25/2024,2:00 PM,Assist researchers at the University of Illinois at Chicago with important women's health studies. Help with data collection and study coordination.,"['Education', 'Research', ""Women's Rights""]",https://www.volunteermatch.org/search/opp3863656.jsp
GirlForward's Summer Internship Application,"Chicago, IL, USA",4/1/2024,11:00 AM,Assist with the summer internship program for refugee girls. Help with application processing and program coordination.,"['Education', 'Youth Development', 'Refugee Support']",https://www.volunteermatch.org/search/opp3783932.jsp
Become a Mentor to Refugee Girls,"Chicago, IL, USA",3/28/2024,3:00 PM,Mentor refugee girls and help them navigate their new lives in the U.S. Provide guidance and support in education and personal development.,"['Mentorship', 'Refugee Support', 'Youth Development']",https://www.volunteermatch.org/search/opp3684819.jsp
Bring Peace to Someone Facing End of Life,"Chicago, IL, USA",4/3/2024,2:00 PM,Join the Unity Hospice Volunteer Program to bring peace and comfort to individuals facing the end of life. Provide emotional and spiritual support in a compassionate environment.,"['Health & Medicine', 'Volunteering', 'Spirituality']",https://www.idealist.org/en/volunteer-opportunity/99f78f94b1e343849126f0399c9552e6-bring-peace-to-someone-facing-end-of-life-join-unity-hospice-volunteer-program-unity-hospice-palliative-care-chicago
Join the America Needs You - Chicago Associate Board,"Chicago, IL, USA",4/4/2024,3:00 PM,Join the Associate Board to support mentorship programs for low-income students. Help with fundraising and event planning to support educational initiatives.,"['Education', 'Mentorship', 'Youth Development']",https://www.volunteermatch.org/search/opp3682637.jsp
Content Publishers for Facebook and LinkedIn,"Chicago, IL, USA",4/5/2024,10:00 AM,Help manage social media content for a food pantry. Create and schedule posts to raise awareness and engage the community.,"['Marketing', 'Social Media', 'Food Security']",https://www.volunteermatch.org/search/opp3707204.jsp
Food Distribution Volunteers,"Chicago, IL, USA",4/8/2024,9:00 AM,Assist with food distribution at a local food pantry. Help sort and distribute food to individuals in need.,"['Food Security', 'Volunteering', 'Community Development']",https://www.volunteermatch.org/search/opp3690923.jsp
Safe House Kids Group Assistant,"Chicago, IL, USA",4/9/2024,2:00 PM,Assist with group activities for children in a safe house environment. Help with educational and recreational activities to support their development.,"['Children & Youth', 'Volunteering', 'Community Development']",https://www.volunteermatch.org/search/opp3034848.jsp
Safe House Lobby Volunteer,"Chicago, IL, USA",4/10/2024,11:00 AM,"Volunteer at the front desk of a safe house. Greet visitors, answer phones, and provide general administrative support.","['Administration', 'Volunteering', 'Community Development']",https://www.volunteermatch.org/search/opp3034844.jsp
Volunteer at Run for the Zoo,"Chicago, IL, USA",4/12/2024,9:00 AM,"Volunteer at the annual Run for the Zoo event. Assist with registration, water stations, and overall event support to make the event a success.","['Community Development', 'Volunteering', 'Sports & Recreation']",https://www.volunteermatch.org/search/opp3894528.jsp
Volunteer at Run for the Zoo!,"Chicago, IL",6/8/2025,5:30 AM,"Join Lincoln Park Zoo for the annual Run for the Zoo event, supporting conservation efforts and community engagement through a fun-filled morning of volunteering.","['Sports & Recreation', 'Community Development', 'Environment']",https://www.idealist.org/en/volunteer-opportunity/4053363647bf4fd5a39b4d239b1424ed-volunteer-at-run-for-the-zoo-lincoln-park-zoo-chicago
Pop-Up Distribution - ACCESS West Side,"Chicago, Illinois",4/23/2025,12:30 PM,Volunteer with the Greater Chicago Food Depository to distribute food and essential items to those in need at the ACCESS West Side location.,"['Food Security', 'Community Development', 'Poverty']",https://www.idealist.org/en/x7lCJWxEEpb
Pop-Up Distribution - ACCESS Grand Boulevard,"Chicago, IL",4/23/2025,8:30 AM,"Assist the Greater Chicago Food Depository in distributing food and supplies at the ACCESS Grand Boulevard location, helping to combat food insecurity.","['Food Security', 'Community Development', 'Poverty']",https://www.idealist.org/en/GDBiFZbEEpb
Hospital Elder Life Program Volunteer,Chicago,4/23/2025,10:00 AM,Volunteer at Rush University Medical Center to assist elderly patients with daily activities and provide companionship.,"['Health & Medicine', 'Elder Care', 'Community Development']",https://www.idealist.org/en/opp3894105.jsp
Play Lacrosse & Mentor Youth,Chicago,4/23/2025,2:00 PM,Mentor and coach youth in lacrosse while promoting teamwork and personal development with the TRUE LACROSSE FOUNDATION.,"['Sports & Recreation', 'Youth Development', 'Mentorship']",https://www.idealist.org/en/opp3892218.jsp
Le Tour de Shore 2025 Charity Ride,Chicago,4/23/2025,9:00 AM,"Participate in the Le Tour de Shore charity bike ride, supporting local community initiatives and enjoying a scenic route.","['Sports & Recreation', 'Fundraising', 'Community Development']",https://www.idealist.org/en/opp3892205.jsp
Help End Clothing Insecurity in Chicago,Chicago,4/23/2025,11:00 AM,"Volunteer with Cradles to Crayons to sort and distribute clothing to children in need, helping to end clothing insecurity.","['Poverty', 'Community Development', 'Youth Development']",https://www.idealist.org/en/opp3892098.jsp
Chicago TechPath Alliance: Program Manager,Chicago,4/23/2025,1:00 PM,"Assist in managing programs for the Chicago TechPath Alliance, supporting technology education and career development initiatives.","['Technology', 'Education', 'Community Development']",https://www.idealist.org/en/opp3892091.jsp
Tutoring English as a Second Language (ESL),Chicago,4/23/2025,3:00 PM,"Teach English as a second language to community members at Erie Neighborhood House, helping to empower through education.","['Education', 'Community Development', 'Language Support']",https://www.idealist.org/en/opp3824840.jsp
Russian Speaking Volunteer Visitor,Chicago,4/23/2025,4:00 PM,"Visit and provide companionship to Russian-speaking seniors in Chicago, assisting with daily tasks and conversation.","['Elder Care', 'Community Development', 'Language Support']",https://www.idealist.org/en/opp3816574.jsp
English as a Second Language Tutor,Cicero,3/15/2024,10:00 AM,"Volunteer as an English as a Second Language Tutor with Project CARE. Help adults improve their language skills in a supportive environment. No prior experience necessary, just a willingness to help others succeed.","['Education', 'Community Development', 'Language Support']",https://www.volunteermatch.org/search/opp1958028.jsp
Sales and Merchandising Support at MBIC Clubhouse,Chicago,3/16/2024,2:00 PM,Assist with sales and merchandising at the Midwest Brain Injury Clubhouse. Help members with daily operations and support their recovery journey through meaningful activities.,"['Health & Medicine', 'Community Development', 'Sales & Marketing']",https://www.volunteermatch.org/search/opp3795147.jsp
Mental Health Advocates: Call for NAMI Metro Suburban Finance Committee Volunteers!,Oak Park,3/17/2024,11:00 AM,Join the NAMI Metro Suburban Finance Committee as a volunteer. Help advocate for mental health initiatives and support financial planning for community programs.,"['Mental Health', 'Finance', 'Advocacy']",https://www.volunteermatch.org/search/opp3891274.jsp
Administrative Assistant Needed ASAP!,Chicago,3/19/2024,9:00 AM,"Provide administrative support to The Rise Foundation. Assist with daily operations, data entry, and other tasks to help the organization run smoothly.","['Administration', 'Community Development', 'Nonprofit Support']",https://www.volunteermatch.org/search/opp3642687.jsp
Event Volunteer Help!,"Chicago, IL, USA",3/15/2024,10:00 AM,Join TRANSFORMATIONS BY CHICAGO ANGELS as an event volunteer. Assist with various tasks to support the event's success.,"['Volunteering', 'Community Development']",https://www.volunteermatch.org/search/opp3887832.jsp
Board of Directors - Social Media and Marketing,"Chicago, IL, USA",3/16/2024,2:00 PM,Contribute to TRANSFORMATIONS BY CHICAGO ANGELS as a Board member focusing on social media and marketing strategies.,"['Marketing', 'Nonprofit Management']",https://www.volunteermatch.org/search/opp3887826.jsp
Back to School Drive Volunteer,"Chicago, IL, USA",3/17/2024,11:00 AM,Assist NAAAP-Chicago with their Back to School Drive to help prepare for the upcoming school year.,"['Education', 'Community Development']",https://www.volunteermatch.org/search/opp3887765.jsp
Play a musical instrument for memory support residents!,"Chicago, IL, USA",3/18/2024,3:00 PM,"Volunteer with norVOLution to play musical instruments for memory support residents, providing entertainment and engagement.","['Health & Medicine', 'Arts & Music']",https://www.volunteermatch.org/search/opp3887119.jsp
Lead craft activities with memory support residents!,"Chicago, IL, USA",3/19/2024,4:00 PM,"Assist norVOLution in leading craft activities for memory support residents, promoting creativity and well-being.","['Health & Medicine', 'Arts & Crafts']",https://www.volunteermatch.org/search/opp3835739.jsp
Become a host family for an international exchange student!,"River Forest, IL, USA",3/20/2024,5:00 PM,"Host an international exchange student through AnB Education, providing a welcoming environment for cultural exchange.","['Education', 'International Relations']",https://www.volunteermatch.org/search/opp3688802.jsp
Digital Marketing Specialist,"Chicago, IL, USA",3/21/2024,6:00 PM,Help the American Youth Literacy Foundation with digital marketing efforts to promote literacy programs.,"['Marketing', 'Education']",https://www.volunteermatch.org/search/opp3886540.jsp
Mentor,"Chicago, IL, USA",3/22/2024,7:00 PM,"Mentor individuals through The Well of Mercy, providing guidance and support for personal development.","['Mentorship', 'Community Development']",https://www.volunteermatch.org/search/opp3886305.jsp
Family Mentors for Newcomers,"Skokie, IL, USA",3/23/2024,8:00 PM,"Assist BUILDING PEACEFUL BRIDGES in mentoring families, helping them integrate into the community.","['Community Development', 'Immigrants or Refugees']",https://www.volunteermatch.org/search/opp3323705.jsp
Event Planning Committee for the 2025 Walk to End Alzheimer's,"Chicago, IL, USA",3/24/2024,9:00 PM,Join the Alzheimer's Association Illinois Chapter to help plan the 2025 Walk to End Alzheimer's event.,"['Health & Medicine', 'Event Planning']",https://www.volunteermatch.org/search/opp3885641.jsp
OPEN CALL for new performers,"Chicago, IL, USA",3/25/2024,10:00 PM,SECOND CITY OUTLAWS INC seeks new performers to join their team. Audition and showcase your talents.,"['Arts & Music', 'Entertainment']",https://www.volunteermatch.org/search/opp3765589.jsp
